Mod:Item:MetaData, Localized Name
animania:purple_peacock_feather, Purple Peacock Feather
animania:taupe_peacock_feather, Taupe Peacock Feather
animania:riding_crop, Riding Crop
animania:hamster_ball_clear, item.null.name
animania:hamster_ball_colored:0, Black Hamster Ball
animania:hamster_ball_colored:1, Red Hamster Ball
animania:hamster_ball_colored:2, Green Hamster Ball
animania:hamster_ball_colored:3, Brown Hamster Ball
animania:hamster_ball_colored:4, Blue Hamster Ball
animania:hamster_ball_colored:5, Purple Hamster Ball
animania:hamster_ball_colored:6, Cyan Hamster Ball
animania:hamster_ball_colored:7, Light Gray Hamster Ball
animania:hamster_ball_colored:8, Gray Hamster Ball
animania:hamster_ball_colored:9, Pink Hamster Ball
animania:hamster_ball_colored:10, Lime Hamster Ball
animania:hamster_ball_colored:11, Yellow Hamster Ball
animania:hamster_ball_colored:12, Light Blue Hamster Ball
animania:hamster_ball_colored:13, Magenta Hamster Ball
animania:hamster_ball_colored:14, Orange Hamster Ball
animania:hamster_ball_colored:15, White Hamster Ball
animania:wheel, Wheel
animania:milk_bottle, Bottle of Milk
animania:animania_manual, Animania Manual
animania:super_omelette, Super Omelette
animania:truffle_omelette, Truffle Omelette
animania:bacon_omelette, Bacon Omelette
animania:cheese_omelette, Cheese Omelette
animania:plain_omelette, Plain Omelette
animania:truffle, Truffle
animania:truffle_soup, Truffle Soup
animania:chocolate_truffle, Chocolate Truffle
animania:honey_bottle, Bottle of Honey
animania:raw_prime_beef, Raw Prime Beef
animania:cooked_prime_beef, Roast Prime Beef
animania:raw_prime_steak, Raw Prime Steak
animania:cooked_prime_steak, Roast Prime Steak
animania:raw_prime_pork, Raw Prime Pork
animania:cooked_prime_pork, Roast Prime Pork
animania:raw_prime_bacon, Raw Prime Bacon
animania:cooked_prime_bacon, Roast Prime Bacon
animania:raw_prime_chicken, Raw Prime Chicken
animania:cooked_prime_chicken, Roast Prime Chicken
animania:brown_egg, Egg
animania:peacock_egg_blue, Peafowl Egg
animania:peacock_egg_white, Peafowl Egg
animania:raw_prime_mutton, Raw Prime Mutton
animania:cooked_prime_mutton, Roast Prime Mutton
animania:raw_prime_rabbit, Raw Prime Rabbit
animania:cooked_prime_rabbit, Roast Prime Rabbit
animania:raw_frog_legs, Raw Frog Legs
animania:cooked_frog_legs, Cooked Frog Legs
animania:raw_horse, Raw Horse
animania:cooked_horse, Cooked Horse
animania:raw_chevon, Raw Chevon
animania:cooked_chevon, Roast Chevon
animania:raw_prime_chevon, Raw Prime Chevon
animania:cooked_prime_chevon, Roast Prime Chevon
animania:raw_peacock, Raw Peacock
animania:cooked_peacock, Roast Peacock
animania:raw_prime_peacock, Raw Prime peacock
animania:cooked_prime_peacock, Roast Prime Peacock
animania:friesian_cheese_wedge, Cheese Wedge (Friesian)
animania:holstein_cheese_wedge, Cheese Wedge (Holstein)
animania:jersey_cheese_wedge, Cheese Wedge (Jersey)
animania:goat_cheese_wedge, Cheese Wedge (Goat)
animania:sheep_cheese_wedge, Cheese Wedge (Sheep)
animania:entity_egg_random, item.animania_entity_egg_random.name
animania:entity_egg_cow_random, item.animania_entity_egg_cow_random.name
animania:entity_egg_pig_random, item.animania_entity_egg_pig_random.name
animania:entity_egg_chicken_random, item.animania_entity_egg_chicken_random.name
animania:entity_egg_peacock_random, item.animania_entity_egg_peacock_random.name
animania:entity_egg_dart_frog, item.animania_entity_egg_dart_frog.name
animania:entity_egg_goat_random, item.animania_entity_egg_goat_random.name
animania:entity_egg_sheep_random, item.animania_entity_egg_sheep_random.name
animania:entity_egg_rabbit_random, item.animania_entity_egg_rabbit_random.name
animania:block_straw, Straw
animania:friesian_cheese_wheel, Cheese Wheel (Friesian)
animania:holstein_cheese_wheel, Cheese Wheel (Holstein)
animania:jersey_cheese_wheel, Cheese Wheel (Jersey)
animania:goat_cheese_wheel, Cheese Wheel (Goat)
animania:sheep_cheese_wheel, Cheese Wheel (Sheep)
animania:cheese_mold, Cheese Mold
animania:salt_lick:0, Salt Lick
animania:wool:0, Wool (Dorset, Brown)
animania:wool:1, Wool (Friesian, Black)
animania:wool:2, Wool (Friesian, Brown)
animania:wool:3, Wool (Jacob)
animania:wool:4, Wool (Merino, Brown)
animania:wool:5, Wool (Merino, White)
animania:wool:6, Wool (Suffolk, Brown)
animania:bee_hive, Bee Hive
animania:wild_hive, Bee Nest
animania:block_mud, Mud
animania:block_trough, Trough
animania:block_nest, Nest
animania:block_hamster_wheel, Hamster Wheel
aquaculture:fishing_rod, Wooden Fishing Rod
aquaculture:iron_fishing_rod, Iron Fishing Rod
aquaculture:gold_fishing_rod, Golden Fishing Rod
aquaculture:diamond_fishing_rod, Diamond Fishing Rod
aquaculture:admin_fishing_rod, Admin Fishing Rod
aquaculture:loot:0, Driftwood
aquaculture:loot:1, Neptunium Ingot
aquaculture:loot:2, Tin Can
aquaculture:loot:3, Message In A Bottle
aquaculture:loot:4, Box
aquaculture:loot:5, Lockbox
aquaculture:loot:6, Treasure Chest
aquaculture:loot:7, Neptune's Bounty
aquaculture:food:0, Seaweed
aquaculture:food:1, Algae
aquaculture:food:2, Raw Whale Steak
aquaculture:food:3, Raw Fish Fillet
aquaculture:food:4, Cooked Fish Fillet
aquaculture:food:5, Cooked Whale Steak
aquaculture:food:6, Cooked Whale Burger
aquaculture:food:7, Frog Legs
aquaculture:food:8, Cooked Frog Legs
aquaculture:food:9, Turtle Soup
aquaculture:food:10, Sushi
aquaculture:neptunium_pickaxe, Neptunium Pickaxe
aquaculture:neptunium_shovel, Neptunium Shovel
aquaculture:neptunium_axe, Neptunium Axe
aquaculture:neptunium_hoe, Neptunium Hoe
aquaculture:neptunium_sword, Neptunium Sword
aquaculture:neptunium_helmet, Neptunium Helmet
aquaculture:neptunium_chestplate, Neptunium Chestplate
aquaculture:neptunium_leggings, Neptunium Leggings
aquaculture:neptunium_boots, Neptunium Boots
aquaculture:fish:0, Bluegill
aquaculture:fish:1, Perch
aquaculture:fish:2, Gar
aquaculture:fish:3, Bass
aquaculture:fish:4, Muskellunge
aquaculture:fish:5, Brown Trout
aquaculture:fish:6, Catfish
aquaculture:fish:7, Carp
aquaculture:fish:8, Blowfish
aquaculture:fish:9, Red Grouper
aquaculture:fish:10, Salmon
aquaculture:fish:11, Tuna
aquaculture:fish:12, Sword Fish
aquaculture:fish:13, Shark
aquaculture:fish:14, Whale
aquaculture:fish:15, Squid
aquaculture:fish:16, Jellyfish
aquaculture:fish:17, Frog
aquaculture:fish:18, Turtle
aquaculture:fish:19, Leech
aquaculture:fish:20, Pirahna
aquaculture:fish:21, Electric Eel
aquaculture:fish:22, Tambaqui
aquaculture:fish:23, Arapaima
aquaculture:fish:24, Cod
aquaculture:fish:25, Pollock
aquaculture:fish:26, Herring
aquaculture:fish:27, Halibut
aquaculture:fish:28, Pink Salmon
aquaculture:fish:29, Rainbow Trout
aquaculture:fish:30, Blackfish
aquaculture:fish:31, Capitaine
aquaculture:fish:32, Boulti
aquaculture:fish:33, Bagrid
aquaculture:fish:34, Syndontis
aquaculture:fish:35, Red Shrooma
aquaculture:fish:36, Brown Shrooma
aquaculture:fish:37, Goldfish
aquaculture:fish:38, Fish Bones
avaritia:resource:0, Diamond Lattice
avaritia:resource:1, Crystal Matrix Ingot
avaritia:resource:2, Pile of Neutrons
avaritia:resource:3, Neutronium Nugget
avaritia:resource:4, Neutronium Ingot
avaritia:resource:5, Infinity Catalyst
avaritia:resource:6, Infinity Ingot
avaritia:resource:7, Record Fragment
avaritia:singularity:0, Iron Singularity
avaritia:singularity:1, Golden Singularity
avaritia:singularity:2, Lapis Singularity
avaritia:singularity:3, Redstone Singularity
avaritia:singularity:4, Nether Quartz Singularity
avaritia:singularity:5, Copper Singularity
avaritia:singularity:6, Tin Singularity
avaritia:singularity:7, Lead Singularity
avaritia:singularity:8, Silver Singularity
avaritia:singularity:9, Nickel Singularity
avaritia:singularity:10, Diamond Singularity
avaritia:singularity:11, Emerald Singularity
avaritia:singularity:12, Fluxed Singularity
avaritia:singularity:13, Platinum Singularity
avaritia:singularity:14, Iridium Singularity
avaritia:infinity_sword, Sword of the Cosmos
avaritia:infinity_bow, Longbow of the Heavens
avaritia:infinity_pickaxe, World Breaker
avaritia:infinity_shovel, Planet Eater
avaritia:infinity_axe, Nature's Ruin
avaritia:infinity_hoe, Hoe of the Green Earth
avaritia:infinity_helmet, Infinity Helmet
avaritia:infinity_chestplate, Infinity Breastplate
avaritia:infinity_pants, Infinity Leggings
avaritia:infinity_boots, Infinity Boots
avaritia:skullfire_sword, Skullfire Sword
avaritia:endest_pearl, Endest Pearl
avaritia:ultimate_stew, Ultimate Stew
avaritia:cosmic_meatballs, Cosmic Meatballs
avaritia:matter_cluster, Matter Cluster
avaritia:compressed_crafting_table, Compressed Crafting Table
avaritia:double_compressed_crafting_table, Double Compressed Crafting Table
avaritia:extreme_crafting_table, Extreme Crafting Table
avaritia:block_resource:0, Neutronium Block
avaritia:block_resource:1, Infinity Block
avaritia:block_resource:2, Crystal Matrix
avaritia:neutron_collector, Neutron Collector
avaritia:neutronium_compressor, Neutronium Compressor
thermalfoundation:ore:0, Copper Ore
thermalfoundation:ore:1, Tin Ore
thermalfoundation:ore:2, Silver Ore
thermalfoundation:ore:3, Lead Ore
thermalfoundation:ore:4, Aluminum Ore
thermalfoundation:ore:5, Nickel Ore
thermalfoundation:ore:6, Platinum Ore
thermalfoundation:ore:7, Iridium Ore
thermalfoundation:ore:8, Mana Infused Ore
thermalfoundation:ore_fluid:0, Oil Sand
thermalfoundation:ore_fluid:1, Oil Shale
thermalfoundation:ore_fluid:2, Destabilized Redstone Ore
thermalfoundation:ore_fluid:3, Energized Netherrack
thermalfoundation:ore_fluid:4, Resonant End Stone
thermalfoundation:ore_fluid:5, Oil Sand
thermalfoundation:storage:0, Block of Copper
thermalfoundation:storage:1, Block of Tin
thermalfoundation:storage:2, Block of Silver
thermalfoundation:storage:3, Block of Lead
thermalfoundation:storage:4, Block of Aluminum
thermalfoundation:storage:5, Block of Nickel
thermalfoundation:storage:6, Block of Platinum
thermalfoundation:storage:7, Block of Iridium
thermalfoundation:storage:8, Block of Mana Infused Metal
thermalfoundation:storage_alloy:0, Block of Steel
thermalfoundation:storage_alloy:1, Block of Electrum
thermalfoundation:storage_alloy:2, Block of Invar
thermalfoundation:storage_alloy:3, Block of Bronze
thermalfoundation:storage_alloy:4, Block of Constantan
thermalfoundation:storage_alloy:5, Block of Signalum
thermalfoundation:storage_alloy:6, Block of Lumium
thermalfoundation:storage_alloy:7, Block of Enderium
thermalfoundation:storage_resource:0, Block of Charcoal
thermalfoundation:storage_resource:1, Block of Coal Coke
thermalfoundation:glass:0, Hardened Copper Glass
thermalfoundation:glass:1, Hardened Tin Glass
thermalfoundation:glass:2, Hardened Silver Glass
thermalfoundation:glass:3, Hardened Glass
thermalfoundation:glass:4, Hardened Aluminum Glass
thermalfoundation:glass:5, Hardened Nickel Glass
thermalfoundation:glass:6, Hardened Platinum Glass
thermalfoundation:glass:7, Hardened Iridium Glass
thermalfoundation:glass:8, Hardened Mana Infused Glass
thermalfoundation:glass_alloy:0, Hardened Steel Glass
thermalfoundation:glass_alloy:1, Hardened Electrum Glass
thermalfoundation:glass_alloy:2, Hardened Invar Glass
thermalfoundation:glass_alloy:3, Hardened Bronze Glass
thermalfoundation:glass_alloy:4, Hardened Constantan Glass
thermalfoundation:glass_alloy:5, Hardened Signalum Glass
thermalfoundation:glass_alloy:6, Hardened Lumium Glass
thermalfoundation:glass_alloy:7, Hardened Enderium Glass
thermalfoundation:rockwool:0, Black Rockwool
thermalfoundation:rockwool:1, Red Rockwool
thermalfoundation:rockwool:2, Green Rockwool
thermalfoundation:rockwool:3, Brown Rockwool
thermalfoundation:rockwool:4, Blue Rockwool
thermalfoundation:rockwool:5, Purple Rockwool
thermalfoundation:rockwool:6, Cyan Rockwool
thermalfoundation:rockwool:7, Light Gray Rockwool
thermalfoundation:rockwool:8, Gray Rockwool
thermalfoundation:rockwool:9, Pink Rockwool
thermalfoundation:rockwool:10, Lime Rockwool
thermalfoundation:rockwool:11, Yellow Rockwool
thermalfoundation:rockwool:12, Light Blue Rockwool
thermalfoundation:rockwool:13, Magenta Rockwool
thermalfoundation:rockwool:14, Orange Rockwool
thermalfoundation:rockwool:15, White Rockwool
thermalfoundation:wrench:0, Crescent Hammer
thermalfoundation:meter:0, Multimeter
thermalfoundation:upgrade:0, Hardened Upgrade Kit
thermalfoundation:upgrade:1, Reinforced Upgrade Kit
thermalfoundation:upgrade:2, Signalum Upgrade Kit
thermalfoundation:upgrade:3, Resonant Upgrade Kit
thermalfoundation:upgrade:33, Reinforced Conversion Kit
thermalfoundation:upgrade:34, Signalum Conversion Kit
thermalfoundation:upgrade:35, Resonant Conversion Kit
thermalfoundation:upgrade:256, Creative Conversion Kit
thermalfoundation:security:0, Signalum Security Lock
thermalfoundation:diagram_redprint, Redprint
thermalfoundation:tome_lexicon, Forge Lexicon
thermalfoundation:tome_experience, Tome of Knowledge
thermalfoundation:coin:0, Iron Coin
thermalfoundation:coin:1, Gold Coin
thermalfoundation:coin:64, Copper Coin
thermalfoundation:coin:65, Tin Coin
thermalfoundation:coin:66, Silver Coin
thermalfoundation:coin:67, Lead Coin
thermalfoundation:coin:68, Aluminum Coin
thermalfoundation:coin:69, Nickel Coin
thermalfoundation:coin:70, Platinum Coin
thermalfoundation:coin:71, Iridium Coin
thermalfoundation:coin:72, Mana Infused Coin
thermalfoundation:coin:96, Steel Coin
thermalfoundation:coin:97, Electrum Coin
thermalfoundation:coin:98, Invar Coin
thermalfoundation:coin:99, Bronze Coin
thermalfoundation:coin:100, Constantan Coin
thermalfoundation:coin:101, Signalum Coin
thermalfoundation:coin:102, Lumium Coin
thermalfoundation:coin:103, Enderium Coin
thermalfoundation:fertilizer:0, Phyto-Gro
thermalfoundation:fertilizer:1, Rich Phyto-Gro
thermalfoundation:fertilizer:2, Fluxed Phyto-Gro
thermalfoundation:bait:0, Aqua-Chow
thermalfoundation:bait:1, Rich Aqua-Chow
thermalfoundation:bait:2, Fluxed Aqua-Chow
thermalfoundation:dye:0, Black Pigment
thermalfoundation:dye:1, Red Pigment
thermalfoundation:dye:2, Green Pigment
thermalfoundation:dye:3, Brown Pigment
thermalfoundation:dye:4, Blue Pigment
thermalfoundation:dye:5, Purple Pigment
thermalfoundation:dye:6, Cyan Pigment
thermalfoundation:dye:7, Light Gray Pigment
thermalfoundation:dye:8, Gray Pigment
thermalfoundation:dye:9, Pink Pigment
thermalfoundation:dye:10, Lime Pigment
thermalfoundation:dye:11, Yellow Pigment
thermalfoundation:dye:12, Light Blue Pigment
thermalfoundation:dye:13, Magenta Pigment
thermalfoundation:dye:14, Orange Pigment
thermalfoundation:dye:15, White Pigment
thermalfoundation:material:0, Pulverized Iron
thermalfoundation:material:1, Pulverized Gold
thermalfoundation:material:16, Diamond Nugget
thermalfoundation:material:17, Emerald Nugget
thermalfoundation:material:22, Wooden Gear
thermalfoundation:material:23, Stone Gear
thermalfoundation:material:24, Iron Gear
thermalfoundation:material:25, Gold Gear
thermalfoundation:material:26, Diamond Gear
thermalfoundation:material:27, Emerald Gear
thermalfoundation:material:32, Iron Plate
thermalfoundation:material:33, Gold Plate
thermalfoundation:material:64, Pulverized Copper
thermalfoundation:material:65, Pulverized Tin
thermalfoundation:material:66, Pulverized Silver
thermalfoundation:material:67, Pulverized Lead
thermalfoundation:material:68, Pulverized Aluminum
thermalfoundation:material:69, Pulverized Nickel
thermalfoundation:material:70, Pulverized Platinum
thermalfoundation:material:71, Pulverized Iridium
thermalfoundation:material:72, Pulverized Mana Infused Metal
thermalfoundation:material:96, Steel Blend
thermalfoundation:material:97, Electrum Blend
thermalfoundation:material:98, Invar Blend
thermalfoundation:material:99, Bronze Blend
thermalfoundation:material:100, Constantan Blend
thermalfoundation:material:101, Signalum Blend
thermalfoundation:material:102, Lumium Blend
thermalfoundation:material:103, Enderium Blend
thermalfoundation:material:128, Copper Ingot
thermalfoundation:material:129, Tin Ingot
thermalfoundation:material:130, Silver Ingot
thermalfoundation:material:131, Lead Ingot
thermalfoundation:material:132, Aluminum Ingot
thermalfoundation:material:133, Nickel Ingot
thermalfoundation:material:134, Platinum Ingot
thermalfoundation:material:135, Iridium Ingot
thermalfoundation:material:136, Mana Infused Ingot
thermalfoundation:material:160, Steel Ingot
thermalfoundation:material:161, Electrum Ingot
thermalfoundation:material:162, Invar Ingot
thermalfoundation:material:163, Bronze Ingot
thermalfoundation:material:164, Constantan Ingot
thermalfoundation:material:165, Signalum Ingot
thermalfoundation:material:166, Lumium Ingot
thermalfoundation:material:167, Enderium Ingot
thermalfoundation:material:192, Copper Nugget
thermalfoundation:material:193, Tin Nugget
thermalfoundation:material:194, Silver Nugget
thermalfoundation:material:195, Lead Nugget
thermalfoundation:material:196, Aluminum Nugget
thermalfoundation:material:197, Nickel Nugget
thermalfoundation:material:198, Platinum Nugget
thermalfoundation:material:199, Iridium Nugget
thermalfoundation:material:200, Mana Infused Nugget
thermalfoundation:material:224, Steel Nugget
thermalfoundation:material:225, Electrum Nugget
thermalfoundation:material:226, Invar Nugget
thermalfoundation:material:227, Bronze Nugget
thermalfoundation:material:228, Constantan Nugget
thermalfoundation:material:229, Signalum Nugget
thermalfoundation:material:230, Lumium Nugget
thermalfoundation:material:231, Enderium Nugget
thermalfoundation:material:256, Copper Gear
thermalfoundation:material:257, Tin Gear
thermalfoundation:material:258, Silver Gear
thermalfoundation:material:259, Lead Gear
thermalfoundation:material:260, Aluminum Gear
thermalfoundation:material:261, Nickel Gear
thermalfoundation:material:262, Platinum Gear
thermalfoundation:material:263, Iridium Gear
thermalfoundation:material:264, Mana Infused Gear
thermalfoundation:material:288, Steel Gear
thermalfoundation:material:289, Electrum Gear
thermalfoundation:material:290, Invar Gear
thermalfoundation:material:291, Bronze Gear
thermalfoundation:material:292, Constantan Gear
thermalfoundation:material:293, Signalum Gear
thermalfoundation:material:294, Lumium Gear
thermalfoundation:material:295, Enderium Gear
thermalfoundation:material:320, Copper Plate
thermalfoundation:material:321, Tin Plate
thermalfoundation:material:322, Silver Plate
thermalfoundation:material:323, Lead Plate
thermalfoundation:material:324, Aluminum Plate
thermalfoundation:material:325, Nickel Plate
thermalfoundation:material:326, Platinum Plate
thermalfoundation:material:327, Iridium Plate
thermalfoundation:material:328, Mana Infused Plate
thermalfoundation:material:352, Steel Plate
thermalfoundation:material:353, Electrum Plate
thermalfoundation:material:354, Invar Plate
thermalfoundation:material:355, Bronze Plate
thermalfoundation:material:356, Constantan Plate
thermalfoundation:material:357, Signalum Plate
thermalfoundation:material:358, Lumium Plate
thermalfoundation:material:359, Enderium Plate
thermalfoundation:material:512, Redstone Servo
thermalfoundation:material:513, Redstone Reception Coil
thermalfoundation:material:514, Redstone Transmission Coil
thermalfoundation:material:515, Redstone Conductance Coil
thermalfoundation:material:640, Tool Casing
thermalfoundation:material:656, Drill Head
thermalfoundation:material:657, Saw Blade
thermalfoundation:material:768, Pulverized Coal
thermalfoundation:material:769, Pulverized Charcoal
thermalfoundation:material:770, Pulverized Obsidian
thermalfoundation:material:771, Sulfur
thermalfoundation:material:772, Niter
thermalfoundation:material:800, Sawdust
thermalfoundation:material:801, Compressed Sawdust
thermalfoundation:material:802, Coal Coke
thermalfoundation:material:816, Pulped Biomass
thermalfoundation:material:817, Rich Biomass
thermalfoundation:material:818, Pulped Bioblend
thermalfoundation:material:819, Rich Bioblend
thermalfoundation:material:832, Rosin
thermalfoundation:material:833, Tar
thermalfoundation:material:864, Slag
thermalfoundation:material:865, Rich Slag
thermalfoundation:material:866, Cinnabar
thermalfoundation:material:892, Bitumen
thermalfoundation:material:893, Destabilized Clathrate
thermalfoundation:material:894, Energized Clathrate
thermalfoundation:material:895, Resonant Clathrate
thermalfoundation:material:1024, Pyrotheum Dust
thermalfoundation:material:1025, Cryotheum Dust
thermalfoundation:material:1026, Aerotheum Dust
thermalfoundation:material:1027, Petrotheum Dust
thermalfoundation:material:1028, Mana Dust
thermalfoundation:material:2048, Blizz Rod
thermalfoundation:material:2049, Blizz Powder
thermalfoundation:material:2050, Blitz Rod
thermalfoundation:material:2051, Blitz Powder
thermalfoundation:material:2052, Basalz Rod
thermalfoundation:material:2053, Basalz Powder
thermalfoundation:geode:0, Geode
thermalfoundation:armor.helmet_copper, Copper Helmet
thermalfoundation:armor.plate_copper, Copper Chestplate
thermalfoundation:armor.legs_copper, Copper Leggings
thermalfoundation:armor.boots_copper, Copper Boots
thermalfoundation:armor.helmet_tin, Tin Helmet
thermalfoundation:armor.plate_tin, Tin Chestplate
thermalfoundation:armor.legs_tin, Tin Leggings
thermalfoundation:armor.boots_tin, Tin Boots
thermalfoundation:armor.helmet_silver, Silver Helmet
thermalfoundation:armor.plate_silver, Silver Chestplate
thermalfoundation:armor.legs_silver, Silver Leggings
thermalfoundation:armor.boots_silver, Silver Boots
thermalfoundation:armor.helmet_lead, Lead Helmet
thermalfoundation:armor.plate_lead, Lead Chestplate
thermalfoundation:armor.legs_lead, Lead Leggings
thermalfoundation:armor.boots_lead, Lead Boots
thermalfoundation:armor.helmet_aluminum, Aluminum Helmet
thermalfoundation:armor.plate_aluminum, Aluminum Chestplate
thermalfoundation:armor.legs_aluminum, Aluminum Leggings
thermalfoundation:armor.boots_aluminum, Aluminum Boots
thermalfoundation:armor.helmet_nickel, Nickel Helmet
thermalfoundation:armor.plate_nickel, Nickel Chestplate
thermalfoundation:armor.legs_nickel, Nickel Leggings
thermalfoundation:armor.boots_nickel, Nickel Boots
thermalfoundation:armor.helmet_platinum, Platinum Helmet
thermalfoundation:armor.plate_platinum, Platinum Chestplate
thermalfoundation:armor.legs_platinum, Platinum Leggings
thermalfoundation:armor.boots_platinum, Platinum Boots
thermalfoundation:armor.helmet_steel, Steel Helmet
thermalfoundation:armor.plate_steel, Steel Chestplate
thermalfoundation:armor.legs_steel, Steel Leggings
thermalfoundation:armor.boots_steel, Steel Boots
thermalfoundation:armor.helmet_electrum, Electrum Helmet
thermalfoundation:armor.plate_electrum, Electrum Chestplate
thermalfoundation:armor.legs_electrum, Electrum Leggings
thermalfoundation:armor.boots_electrum, Electrum Boots
thermalfoundation:armor.helmet_invar, Invar Helmet
thermalfoundation:armor.plate_invar, Invar Chestplate
thermalfoundation:armor.legs_invar, Invar Leggings
thermalfoundation:armor.boots_invar, Invar Boots
thermalfoundation:armor.helmet_bronze, Bronze Helmet
thermalfoundation:armor.plate_bronze, Bronze Chestplate
thermalfoundation:armor.legs_bronze, Bronze Leggings
thermalfoundation:armor.boots_bronze, Bronze Boots
thermalfoundation:armor.helmet_constantan, Constantan Helmet
thermalfoundation:armor.plate_constantan, Constantan Chestplate
thermalfoundation:armor.legs_constantan, Constantan Leggings
thermalfoundation:armor.boots_constantan, Constantan Boots
thermalfoundation:tool.sword_copper, Copper Sword
thermalfoundation:tool.shovel_copper, Copper Shovel
thermalfoundation:tool.pickaxe_copper, Copper Pickaxe
thermalfoundation:tool.axe_copper, Copper Axe
thermalfoundation:tool.hoe_copper, Copper Hoe
thermalfoundation:tool.bow_copper, Copper Reinforced Bow
thermalfoundation:tool.fishing_rod_copper, Copper Fishing Rod
thermalfoundation:tool.shears_copper, Copper Shears
thermalfoundation:tool.sickle_copper, Copper Sickle
thermalfoundation:tool.hammer_copper, Copper Hammer
thermalfoundation:tool.excavator_copper, Copper Excavator
thermalfoundation:tool.shield_copper, Copper Shield
thermalfoundation:tool.sword_tin, Tin Sword
thermalfoundation:tool.shovel_tin, Tin Shovel
thermalfoundation:tool.pickaxe_tin, Tin Pickaxe
thermalfoundation:tool.axe_tin, Tin Axe
thermalfoundation:tool.hoe_tin, Tin Hoe
thermalfoundation:tool.bow_tin, Tin Reinforced Bow
thermalfoundation:tool.fishing_rod_tin, Tin Fishing Rod
thermalfoundation:tool.shears_tin, Tin Shears
thermalfoundation:tool.sickle_tin, Tin Sickle
thermalfoundation:tool.hammer_tin, Tin Hammer
thermalfoundation:tool.excavator_tin, Tin Excavator
thermalfoundation:tool.shield_tin, Tin Shield
thermalfoundation:tool.sword_silver, Silver Sword
thermalfoundation:tool.shovel_silver, Silver Shovel
thermalfoundation:tool.pickaxe_silver, Silver Pickaxe
thermalfoundation:tool.axe_silver, Silver Axe
thermalfoundation:tool.hoe_silver, Silver Hoe
thermalfoundation:tool.bow_silver, Silver Reinforced Bow
thermalfoundation:tool.fishing_rod_silver, Silver Fishing Rod
thermalfoundation:tool.shears_silver, Silver Shears
thermalfoundation:tool.sickle_silver, Silver Sickle
thermalfoundation:tool.hammer_silver, Silver Hammer
thermalfoundation:tool.excavator_silver, Silver Excavator
thermalfoundation:tool.shield_silver, Silver Shield
thermalfoundation:tool.sword_lead, Lead Sword
thermalfoundation:tool.shovel_lead, Lead Shovel
thermalfoundation:tool.pickaxe_lead, Lead Pickaxe
thermalfoundation:tool.axe_lead, Lead Axe
thermalfoundation:tool.hoe_lead, Lead Hoe
thermalfoundation:tool.bow_lead, Lead Reinforced Bow
thermalfoundation:tool.fishing_rod_lead, Lead Fishing Rod
thermalfoundation:tool.shears_lead, Lead Shears
thermalfoundation:tool.sickle_lead, Lead Sickle
thermalfoundation:tool.hammer_lead, Lead Hammer
thermalfoundation:tool.excavator_lead, Lead Excavator
thermalfoundation:tool.shield_lead, Lead Shield
thermalfoundation:tool.sword_aluminum, Aluminum Sword
thermalfoundation:tool.shovel_aluminum, Aluminum Shovel
thermalfoundation:tool.pickaxe_aluminum, Aluminum Pickaxe
thermalfoundation:tool.axe_aluminum, Aluminum Axe
thermalfoundation:tool.hoe_aluminum, Aluminum Hoe
thermalfoundation:tool.bow_aluminum, Aluminum Reinforced Bow
thermalfoundation:tool.fishing_rod_aluminum, Aluminum Fishing Rod
thermalfoundation:tool.shears_aluminum, Aluminum Shears
thermalfoundation:tool.sickle_aluminum, Aluminum Sickle
thermalfoundation:tool.hammer_aluminum, Aluminum Hammer
thermalfoundation:tool.excavator_aluminum, Aluminum Excavator
thermalfoundation:tool.shield_aluminum, Aluminum Shield
thermalfoundation:tool.sword_nickel, Nickel Sword
thermalfoundation:tool.shovel_nickel, Nickel Shovel
thermalfoundation:tool.pickaxe_nickel, Nickel Pickaxe
thermalfoundation:tool.axe_nickel, Nickel Axe
thermalfoundation:tool.hoe_nickel, Nickel Hoe
thermalfoundation:tool.bow_nickel, Nickel Reinforced Bow
thermalfoundation:tool.fishing_rod_nickel, Nickel Fishing Rod
thermalfoundation:tool.shears_nickel, Nickel Shears
thermalfoundation:tool.sickle_nickel, Nickel Sickle
thermalfoundation:tool.hammer_nickel, Nickel Hammer
thermalfoundation:tool.excavator_nickel, Nickel Excavator
thermalfoundation:tool.shield_nickel, Nickel Shield
thermalfoundation:tool.sword_platinum, Platinum Sword
thermalfoundation:tool.shovel_platinum, Platinum Shovel
thermalfoundation:tool.pickaxe_platinum, Platinum Pickaxe
thermalfoundation:tool.axe_platinum, Platinum Axe
thermalfoundation:tool.hoe_platinum, Platinum Hoe
thermalfoundation:tool.bow_platinum, Platinum Reinforced Bow
thermalfoundation:tool.fishing_rod_platinum, Platinum Fishing Rod
thermalfoundation:tool.shears_platinum, Platinum Shears
thermalfoundation:tool.sickle_platinum, Platinum Sickle
thermalfoundation:tool.hammer_platinum, Platinum Hammer
thermalfoundation:tool.excavator_platinum, Platinum Excavator
thermalfoundation:tool.shield_platinum, Platinum Shield
thermalfoundation:tool.sword_steel, Steel Sword
thermalfoundation:tool.shovel_steel, Steel Shovel
thermalfoundation:tool.pickaxe_steel, Steel Pickaxe
thermalfoundation:tool.axe_steel, Steel Axe
thermalfoundation:tool.hoe_steel, Steel Hoe
thermalfoundation:tool.bow_steel, Steel Reinforced Bow
